"Gene","HR","p.value"
"ZNF483",0.75,0.00027600577310938
"DDX56",1.731,0.00027741495956416
"LPGAT1",1.519,0.000277626980953008
"UNC13B",0.777,0.000277860070463406
"TYMS",1.287,0.000279769875260546
"RIC3",0.862,0.000282272910119048
"CEP55",1.232,0.000282612945269993
"FAM131C",1.178,0.000287115800563532
"ZNF836",0.657,0.000291745846534534
"NCALD",0.804,0.000292599456232282
"AHNAK2",1.171,0.000292812931097879
"FAM82A1",0.773,0.000298113490802016
"ADC",0.771,0.000298138871248525
"ZNF490",0.593,0.00029912347328729
"PAICS",1.459,0.000300473800438116
"HLA.DOB",0.84,0.000300978949621293
"CKS1B",1.296,0.000302849164461591
"MYH16",1.167,0.000303437760878825
"RIPK2",1.414,0.000305558232609403
"SERPINB7",1.111,0.00030700720743883
"ZNF557",0.597,0.000307165497487442
"CD19",0.885,0.00031150789180618
"PRMT8",0.887,0.000315218378162038
"EIF2S1",1.718,0.000316195818300019
"TRIM7",1.17,0.000317568822702444
"CAMKK1",0.724,0.00031972933453402
"STRAP",1.501,0.000320094352099507
"MLLT6",0.68,0.000321083445597948
"ZNF564",0.575,0.00032198594530183
"TRIM28",1.644,0.000323272662167156
"RALGPS1",0.737,0.0003232985860942
"COL29A1",0.87,0.000323354100062353
"CDCA3",1.219,0.000325524962501121
"FBXO45",1.47,0.000326507625368975
"FMO3",0.815,0.000327564193708219
"MAD2L1",1.239,0.00032877943243922
"ST3GAL5",0.826,0.000329877066852937
"NPC2",0.806,0.00032987929304209
"CYP27A1",0.793,0.000331011389844813
"REV1",0.586,0.000331049212764057
"FANCI",1.324,0.000331520363239659
"FGD3",0.777,0.000331672814739856
"CIRBP",0.694,0.000331754320856311
"FKBP6",0.758,0.000333144117025786
"LOC283070",0.832,0.000334087189905745
"PRDM16",0.887,0.000334445915689137
"TMEM163",0.873,0.000336051424234911
"SERBP1",1.955,0.00033693927562634
"PXN",1.582,0.000337793510279704
"LOC127841",1.293,0.000341926896651601
"MAPRE3",0.777,0.000342275408861223
"CDKL2",0.869,0.000342308863851364
"NBN",1.555,0.000342563374160944
"DEFB103B",1.37,0.000343841511482307
"ACOXL",0.869,0.000343969973015382
"AP1S3",1.414,0.000344516410351418
"DNER",1.115,0.000345061407357827
"KIAA0664P3",0.818,0.000345669894177635
"PPFIBP2",0.739,0.00034694778746824
"PCP4L1",0.906,0.000348088676499849
"SYTL3",0.751,0.000349170415129669
"AP3S1",1.765,0.000350161506167886
"ZNF879",0.778,0.000350620689304996
"SNTB1",0.785,0.000352645361655089
"ASAP3",0.768,0.00035357494251111
"TPI1",1.521,0.000354490414165291
"TTC21A",0.787,0.0003559157626364
"ZNF506",0.73,0.00035797359375658
"ANGPTL4",1.15,0.000359359075268462
"EXT1",1.511,0.00036178558032181
"MAP4K4",1.417,0.000362079634529624
"CFTR",0.908,0.000364462351168941
"NEIL1",0.802,0.000366828587992985
"ANKRD13A",0.618,0.000367750500607689
"PKMYT1",1.227,0.000368740636206418
"PVR",1.438,0.000375159867965497
"DOPEY1",0.622,0.000375190543257623
"KCTD7",0.667,0.000376258058267304
"FAM41C",0.768,0.000376276812935018
"FXR1",1.676,0.000377163813861259
"WFDC2",0.86,0.000377842282960112
"SELENBP1",0.84,0.000381859335691349
"KLHDC9",0.845,0.000382513969017378
"CHKA",0.726,0.000384625965420958
"HERPUD1",0.688,0.000387590707880352
"CKAP4",1.449,0.000390877041268842
"IKZF3",0.838,0.00039229896718408
"GPR133",0.877,0.000395056338580777
"NICN1",0.675,0.000395075193851795
"IL11RA",0.728,0.000395161917816253
"KIF20B",1.336,0.000395883851561176
"CFL1",1.84,0.000396750423968953
"C15orf41",1.459,0.000401346572112456
"FAM122C",0.634,0.00040158269473878
"SLC6A17",1.138,0.000405582822040494
"BUB1B",1.216,0.00041008257059284
"AKT1S1",1.663,0.000416763191402262
"SFTPD",0.911,0.00042125507555699
"SIGLEC6",0.851,0.000422791617623561
"PSMD11",1.566,0.00042708591571078
"CNIH",1.411,0.000430449173209211
"ZMYND15",0.797,0.000431002319670222
"CDC20",1.206,0.000431830860947707
"KIAA1328",0.686,0.000439095113733811
"C5orf45",0.733,0.000439797882229312
"KRT14",1.091,0.000441278215515135
"GSK3A",1.766,0.000442135621551676
"LOC149620",0.872,0.000442515908069426
"ATG16L2",0.791,0.000445101277791837
"HPGDS",0.866,0.000445958105546668
"AGFG1",1.571,0.000446121519850685
"SIGLECP3",0.84,0.000448353159258142
